"date","approx_percentage_new_positive_tests","approx_percentage_total_positve_tests","tests_per_case","percentage_vaccinated","percentage_fully_vaccinated","percentage_new_vaccinated","population_density","percentage_population_over_65","gdp_per_capita","percentage_cardiovascular_death","diabetes_prevalence","hospital_beds_per_100","life_expectancy","human_development_index","stringency_index","percentage_avg_new_deaths_by_country","percentage_total_deaths","perecentage_new_deaths"
22,0.00440860838375421,2.08580102170211,13,1.58072947667528,0.183968489754512,0.0844793408106332,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.12538883166759,0.000921291671626804
23,0.0134159528381477,2.07212864958309,13.1,1.66883187462152,0.272174403618916,0.176308311810649,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.126268716971952,0.000879885304362678
24,0.010842671331784,2.19203072352451,12.5,1.81445806828945,0.390534504443421,0.263986294492436,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.127231415010843,0.00096269803889093
25,0.015910137831445,2.23534124540001,12.4,2.05254468005818,0.513501063626059,0.361053170951363,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.128090597131574,0.000859182120730615
26,0.0172481949411771,2.16979902384489,12.9,2.29810514111808,0.588229204945991,0.320288602379831,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.129011888803201,0.000921291671626804
27,0.015637632176888,2.10198284741236,13.3,2.46235384846305,0.634200624200987,0.210220126599968,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.129643335903979,0.000631447100777922
28,0.00865780225354154,2.1666935255969,12.9,2.51684462778264,0.709353180785375,0.129643335903979,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.130202321862044,0.000558985958065702
29,0.00621238360928952,2.17290590920619,13,2.55963810835011,0.77674204350774,0.110182343289839,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.131009746023695,0.000807424161650458
30,0.0126215509790018,2.24196657471003,12.7,2.58465790576946,0.874212632047493,0.122397221632757,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.131868928144425,0.000859182120730615
31,0.0142955068915722,2.17112411041008,13.2,2.73830658309482,0.960348227548691,0.239877437152898,108.043,0.000192301521166417,26777.561,0.278296,7.55,0.702,76.88,0.854,72.22,0.000894810855353236,0.132831626183316,0.00096269803889093
